model_name,model_parameters,lecture_title,lecture_topic,system_prompt_id,dialog_id,f1,precision,recall,claim_recall,context_precision,context_utilization,hallucination,faithfulness,noise_sensitivity,self_knowledge
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),Что такое метод k-ближайших соседей?,prompt14,dialog0391,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),Как выбрать количество соседей k в k-NN?,prompt14,dialog0392,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),Что такое евклидова метрика?,prompt14,dialog0393,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),В чем суть наивного байесовского классификатора?,prompt14,dialog0394,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),Как работает сглаживание по Лапласу?,prompt14,dialog0395,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),Что такое манхэттенское расстояние?,prompt14,dialog0396,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),Как вычислить вероятность класса в Naive Bayes?,prompt14,dialog0397,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),Что такое расстояние Чебышёва?,prompt14,dialog0398,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),Как классифицировать письмо как спам в Naive Bayes?,prompt14,dialog0399,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес (2),В чем разница между k-NN и взвешенным k-NN?,prompt14,dialog0400,47.2,46.1,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
