model_name,model_parameters,lecture_title,lecture_topic,system_prompt_id,dialog_id,f1,precision,recall,claim_recall,context_precision,context_utilization,hallucination,faithfulness,noise_sensitivity,self_knowledge
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое метод k-ближайших соседей?,prompt14,dialog0841,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как выбрать количество соседей k в k-NN?,prompt14,dialog0842,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое евклидова метрика?,prompt14,dialog0843,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем суть наивного байесовского классификатора?,prompt14,dialog0844,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как работает сглаживание по Лапласу?,prompt14,dialog0845,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое манхэттенское расстояние?,prompt14,dialog0846,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как вычислить вероятность класса в Naive Bayes?,prompt14,dialog0847,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое расстояние Чебышёва?,prompt14,dialog0848,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как классифицировать письмо как спам в Naive Bayes?,prompt14,dialog0849,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем разница между k-NN и взвешенным k-NN?,prompt14,dialog0850,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Вычисли вероятность спама для слова 'приз' из примера.,prompt14,dialog0851,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли расстояние Евклида между (1,2) и (3,4).",prompt14,dialog0852,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В примере с погодой, вычисли F(да) для теста.",prompt14,dialog0853,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли P(да | пасмурно, холодно, влажно, да).",prompt14,dialog0854,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В спам-примере, вычисли P(win|спам) с Laplace.",prompt14,dialog0855,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое autograd?,prompt14,dialog0856,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое TensorFlow?,prompt14,dialog0857,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое Keras?,prompt14,dialog0858,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое over-fitting?,prompt14,dialog0859,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое SGD?,prompt14,dialog0860,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое Momentum в оптимизации?,prompt14,dialog0861,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое Adam?,prompt14,dialog0862,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое learning rate?,prompt14,dialog0863,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое метод Ньютона?,prompt14,dialog0864,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,Что такое RMSProp?,prompt14,dialog0865,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли шаг в SGD для L(w)=w^2, w=3, η=0.1.",prompt14,dialog0866,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли v_t в Momentum: γ=0.9, v_{t-1}=1, ∇L=2, η=0.1.",prompt14,dialog0867,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,"В Adagrad, G_{t-1,ii}=4, g_t=2, η=0.1, ε=1e-8.",prompt14,dialog0868,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли learning rate decay: η0=0.1, t=5, T=10, linear.",prompt14,dialog0869,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,3. Инструменты обучения НС,"В Nesterov, вычисли ∇ в ω - γ v_{t-1}: γ=0.9, v=1, ∇=2.",prompt14,dialog0870,45.0,47.0,56.0,38.8,50.0,39.2,8.6,34.7,14.9,6.7
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое метод k-ближайших соседей?,prompt13,dialog0811,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как выбрать количество соседей k в k-NN?,prompt13,dialog0812,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое евклидова метрика?,prompt13,dialog0813,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем суть наивного байесовского классификатора?,prompt13,dialog0814,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как работает сглаживание по Лапласу?,prompt13,dialog0815,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое манхэттенское расстояние?,prompt13,dialog0816,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как вычислить вероятность класса в Naive Bayes?,prompt13,dialog0817,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое расстояние Чебышёва?,prompt13,dialog0818,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как классифицировать письмо как спам в Naive Bayes?,prompt13,dialog0819,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем разница между k-NN и взвешенным k-NN?,prompt13,dialog0820,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Вычисли вероятность спама для слова 'приз' из примера.,prompt13,dialog0821,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли расстояние Евклида между (1,2) и (3,4).",prompt13,dialog0822,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В примере с погодой, вычисли F(да) для теста.",prompt13,dialog0823,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли P(да | пасмурно, холодно, влажно, да).",prompt13,dialog0824,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В спам-примере, вычисли P(win|спам) с Laplace.",prompt13,dialog0825,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое autograd?,prompt13,dialog0826,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое TensorFlow?,prompt13,dialog0827,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое Keras?,prompt13,dialog0828,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое over-fitting?,prompt13,dialog0829,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое SGD?,prompt13,dialog0830,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое Momentum в оптимизации?,prompt13,dialog0831,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое Adam?,prompt13,dialog0832,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое learning rate?,prompt13,dialog0833,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое метод Ньютона?,prompt13,dialog0834,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,Что такое RMSProp?,prompt13,dialog0835,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли шаг в SGD для L(w)=w^2, w=3, η=0.1.",prompt13,dialog0836,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли v_t в Momentum: γ=0.9, v_{t-1}=1, ∇L=2, η=0.1.",prompt13,dialog0837,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,"В Adagrad, G_{t-1,ii}=4, g_t=2, η=0.1, ε=1e-8.",prompt13,dialog0838,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,"Вычисли learning rate decay: η0=0.1, t=5, T=10, linear.",prompt13,dialog0839,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,3. Инструменты обучения НС,"В Nesterov, вычисли ∇ в ω - γ v_{t-1}: γ=0.9, v=1, ∇=2.",prompt13,dialog0840,47.4,47.3,57.8,39.2,50.0,37.5,7.7,40.0,14.4,2.3
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое метод k-ближайших соседей?,prompt4,dialog0541,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как выбрать количество соседей k в k-NN?,prompt4,dialog0542,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое евклидова метрика?,prompt4,dialog0543,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем суть наивного байесовского классификатора?,prompt4,dialog0544,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как работает сглаживание по Лапласу?,prompt4,dialog0545,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое манхэттенское расстояние?,prompt4,dialog0546,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как вычислить вероятность класса в Naive Bayes?,prompt4,dialog0547,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Что такое расстояние Чебышёва?,prompt4,dialog0548,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Как классифицировать письмо как спам в Naive Bayes?,prompt4,dialog0549,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,В чем разница между k-NN и взвешенным k-NN?,prompt4,dialog0550,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,Вычисли вероятность спама для слова 'приз' из примера.,prompt4,dialog0551,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли расстояние Евклида между (1,2) и (3,4).",prompt4,dialog0552,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В примере с погодой, вычисли F(да) для теста.",prompt4,dialog0553,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"Вычисли P(да | пасмурно, холодно, влажно, да).",prompt4,dialog0554,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,1_Классификаторы_KNN_и_наивный_байес,"В спам-примере, вычисли P(win|спам) с Laplace.",prompt4,dialog0555,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,3. Инструменты обучения НС,Что такое autograd?,prompt4,dialog0556,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,3. Инструменты обучения НС,Что такое TensorFlow?,prompt4,dialog0557,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,3. Инструменты обучения НС,Что такое Keras?,prompt4,dialog0558,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,3. Инструменты обучения НС,Что такое over-fitting?,prompt4,dialog0559,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
gemma3,4.3B,3. Инструменты обучения НС,Что такое SGD?,prompt4,dialog0560,20.0,43.5,27.0,0.0,0.0,0.0,7.7,39.5,0.0,2.9
